SDSS_dr8objid	GZ_dr8objid
1237654953205891136	1237654953205891136
1237654953742696794	1237654953742696794
1237654953744662756	1237654953744662756
1237654954275569808	1237654954275569808
1237654954275635399	1237654954275635399
1237654954276946236	1237654954276946236
1237654954277601429	1237654954277601429
1237654954278125767	1237654954278125767
1237654954281468455	1237654954281468455
1237655106764144668	1237655106764144668
1237655106772008998	1237655106772008998
1237655107292889127	1237655107292889127
1237655107293085828	1237655107293085828
1237655107297017995	1237655107297017995
1237655107303571478	1237655107303571478
1237655107308028010	1237655107308028010
1237654626790670729	1237655107822027074
1237655107839393797	1237655107839393797
1237655108366368771	1237655108366368771
1237655108368466005	1237655108368466005
1237655108374626326	1237655108374626326
1237655108374954116	1237655108374954116
1237655108382687383	1237655108382687383
1237655108903436518	1237655108903436518
1237655108907565214	1237655108907565214
1237655108907630861	1237655108907630861
1237655108913332354	1237655108913332354
1237655109439979768	1237655109439979768
1237655109447647255	1237655109447647255
1237655109450858502	1237655109450858502
1237655109456232588	1237655109456232588
1237655123931955303	1237655123931955303
1237655123935953137	1237655123935953137
1237655123942506671	1237655123942506671
1237655124467187845	1237655124467187845
1237655124470857781	1237655124470857781
1237655125009956978	1237655125009956978
1237655125014216786	1237655125014216786
1237655125014413478	1237655125014413478
1237655125015068772	1237655125015068772
1237655125556854948	1237655125556854948
1237655126078652447	1237655126078652447
1237655126614933584	1237655126614933584
1237655126618734621	1237655126618734621
1237655126619390122	1237655126619390122
1237655126620438619	1237655126620438619
1237655126627057770	1237655126627057770
1237655126630531124	1237655126630531124
null	1237655128761630813
1237655375188852883	1237655128771657903
1237655129297846430	1237655129297846430
1237655129300140260	1237655129300140260
1237655129300861190	1237655129300861190
1237655129301319761	1237655129301319761
1237655129304858783	1237655129304858783
1237655129308594580	1237655129308594580
1237655130372047140	1237655130372047140
1237655130373161135	1237655130373161135
1237655130376110437	1237655130376110437
1237655130909704386	1237655130909704386
1237655130909901038	1237655130909901038
1237655347821150351	1237655347821150351
1237655348353368205	1237655348353368205
1237655348355792985	1237655348355792985
1237655348888141836	1237655348888141836
1237655348892074093	1237655348892074093
null	1237655368744763528
1237655368752365636	1237655368752365636
1237655368755183675	1237655368755183675
1237653612649185423	1237655369278423134
1237655344047194205	1237655369821519974
1237655344047456311	1237655369821782095
1237655369831088255	1237655369831088255
1237653613725679639	1237655370354851898
1237655344583671848	1237655370357997578
1237655370364223569	1237655370364223569
1237655370364551289	1237655370364551289
1237655370899390700	1237655370899390700
1237655371439079453	1237655371439079453
1237655373578305720	1237655373578305720
1237655374112817403	1237655374112817403
1237655374114128350	1237655374114128350
1237655374647787859	1237655374647787859
1237655374650147048	1237655374650147048
1237655374650736824	1237655374650736824
1237655374651851039	1237655374651851039
1237655374653096326	1237655374653096326
1237655463239155886	1237655463239155886
1237659331383722091	1237655463245316293
1237655463770062945	1237655463770062945
1237655463772749958	1237655463772749958
1237655463774257246	1237655463774257246
1237655463779172392	1237655463779172392
1237653617475452940	1237655464304705557
null	1237655464312963114
1237653618010816661	1237655464840069223
1237655464846884953	1237655464846884953
1237655464850882800	1237655464850882800
1237655464852848885	1237655464852848885
1237655464855928972	1237655464855928972
1237655465384411325	1237655465384411325
1237655465390833997	1237655465390833997
1237655465930457311	1237655465930457311
1237655468599804247	1237655468599804247
1237651754029678744	1237655469133987925
1237651754030858320	1237655469135102177
1237651754567336035	1237655469671645243
1237659326035591696	1237655471827059177
1237655472357245241	1237655472357245241
1237655472360915448	1237655472360915448
1237655472361374181	1237655472361374181
1237655472362553964	1237655472362553964
1237659326572200406	1237655472363602675
1237659330858189154	1237655472363667939
1237655472893984772	1237655472893984772
1237655472894115969	1237655472894115969
1237655473430855935	1237655473430855935
1237655473432297787	1237655473432297787
1237655473434460596	1237655473434460596
1237655473436164512	1237655473436164512
1237655473436688742	1237655473436688742
1237655473439572106	1237655473439572106
1237655473966809389	1237655473966809389
1237655473967661324	1237655473967661324
1237655473968972081	1237655473968972081
1237655473974345996	1237655473974345996
1237655128767201540	1237655474505449864
1237655128767267115	1237655474505580845
1237655128769888296	1237655474508136564
1237655495446036658	1237655495446036658
1237655495446102240	1237655495446102240
1237655495446429832	1237655495446429832
1237655495979106610	1237655495979106610
1237650369416724661	1237655497588932832
1237650369953530028	1237655498125672646
1237650369954119825	1237655498126262540
1237655498127114409	1237655498127114409
1237655498136027223	1237655498136027223
1237655498668703864	1237655498668703864
1237655498676568101	1237655498676568101
1237655498678272125	1237655498678272125
1237655499205771446	1237655499205771446
1237655499207213274	1237655499207213274
1237655499211538597	1237655499211538597
1237655499744411894	1237655499744411894
1237655499751883263	1237655499751883263
1237655474504401358	1237655501883113805
1237655473972969969	1237655501888553175
1237655473973887343	1237655501889470855
1237655502961246714	1237655502961246714
1237655502961377787	1237655502961377787
1237655502961443256	1237655502961443256
1237651251519095134	1237655503495758253
1237651251520405733	1237655503497068841
1237655503498183177	1237655503498183177
1237655503499559298	1237655503499559298
1237651252055572798	1237655504032235864
1237651252055638338	1237655504032301431
1237651252056817931	1237655504033481040
1237655504035184915	1237655504035184915
1237654952668495940	1237655504568057928
1237651714265252196	1237655504569827656
1237648674534588627	1237655550744592574
1237648673460519568	1237655559866680059
1237655691402805427	1237655691402805427
1237655691403198738	1237655691403198738
1237655692475105601	1237655692475105601
1237655692475760705	1237655692475760705
1237655692479627496	1237655692479627496
1237655692479824172	1237655692479824172
1237655692481396995	1237655692481396995
1237655692481724862	1237655692481724862
